http_method,endpoint
[:GET],/repositories/:repo_id/digital_objects/:id/tree/node_from_root
[:GET],/repositories/:repo_id/digital_objects/:id/tree/root
[:GET],/repositories/:repo_id/digital_objects/:id/tree/waypoint
[:GET],/repositories/:repo_id/digital_objects/dublin_core/:id.:fmt/metadata
[:GET],/repositories/:repo_id/digital_objects/dublin_core/:id.xml
[:GET],/repositories/:repo_id/digital_objects/mets/:id.:fmt/metadata
[:GET],/repositories/:repo_id/digital_objects/mets/:id.xml
[:GET],/repositories/:repo_id/digital_objects/mods/:id.:fmt/metadata
[:GET],/repositories/:repo_id/digital_objects/mods/:id.xml
[:POST],/repositories/:repo_id/events
[:GET],/repositories/:repo_id/events
[:POST],/repositories/:repo_id/events/:id
[:GET],/repositories/:repo_id/events/:id
[:DELETE],/repositories/:repo_id/events/:id
[:POST],/repositories/:repo_id/events/:id/suppressed
[:GET],/repositories/:repo_id/find_by_id/archival_objects
[:GET],/repositories/:repo_id/find_by_id/digital_object_components
[:GET],/repositories/:repo_id/find_by_id/digital_objects
[:GET],/repositories/:repo_id/find_by_id/resources
[:POST],/repositories/:repo_id/groups
[:GET],/repositories/:repo_id/groups
[:POST],/repositories/:repo_id/groups/:id
[:GET],/repositories/:repo_id/groups/:id
[:DELETE],/repositories/:repo_id/groups/:id
[:POST],/repositories/:repo_id/jobs
[:GET],/repositories/:repo_id/jobs
[:DELETE],/repositories/:repo_id/jobs/:id
[:GET],/repositories/:repo_id/jobs/:id
[:POST],/repositories/:repo_id/jobs/:id/cancel
[:GET],/repositories/:repo_id/jobs/:id/log
[:GET],/repositories/:repo_id/jobs/:id/output_files
[:GET],/repositories/:repo_id/jobs/:id/output_files/:file_id
[:GET],/repositories/:repo_id/jobs/:id/records
[:GET],/repositories/:repo_id/jobs/active
[:GET],/repositories/:repo_id/jobs/archived
[:GET],/repositories/:repo_id/jobs/import_types
[:POST],/repositories/:repo_id/jobs_with_files
[:POST],/repositories/:repo_id/preferences
[:GET],/repositories/:repo_id/preferences
[:GET],/repositories/:repo_id/preferences/:id
[:POST],/repositories/:repo_id/preferences/:id
[:DELETE],/repositories/:repo_id/preferences/:id
[:GET],/repositories/:repo_id/preferences/defaults
[:POST],/repositories/:repo_id/rde_templates
[:GET],/repositories/:repo_id/rde_templates
[:GET],/repositories/:repo_id/rde_templates/:id
[:DELETE],/repositories/:repo_id/rde_templates/:id
[:POST],/repositories/:repo_id/required_fields/:record_type
[:GET],/repositories/:repo_id/required_fields/:record_type
[:GET],/repositories/:repo_id/resource_descriptions/:id.:fmt/metadata
[:GET],/repositories/:repo_id/resource_descriptions/:id.pdf
[:GET],/repositories/:repo_id/resource_descriptions/:id.xml
[:GET],/repositories/:repo_id/resource_labels/:id.:fmt/metadata
[:GET],/repositories/:repo_id/resource_labels/:id.tsv
[:POST],/repositories/:repo_id/resources
[:GET],/repositories/:repo_id/resources
[:GET],/repositories/:repo_id/resources/:id
[:POST],/repositories/:repo_id/resources/:id
[:DELETE],/repositories/:repo_id/resources/:id
[:POST],/repositories/:repo_id/resources/:id/accept_children
[:POST],/repositories/:repo_id/resources/:id/children
[:GET],/repositories/:repo_id/resources/:id/models_in_graph
[:GET],/repositories/:repo_id/resources/:id/ordered_records
[:POST],/repositories/:repo_id/resources/:id/publish
[:POST],/repositories/:repo_id/resources/:id/suppressed
[:GET],/repositories/:repo_id/resources/:id/top_containers
[:POST],/repositories/:repo_id/resources/:id/transfer
[:GET],/repositories/:repo_id/resources/:id/tree
[:GET],/repositories/:repo_id/resources/:id/tree/node
[:GET],/repositories/:repo_id/resources/:id/tree/node_from_root
[:GET],/repositories/:repo_id/resources/:id/tree/root
[:GET],/repositories/:repo_id/resources/:id/tree/waypoint
[:GET],/repositories/:repo_id/resources/marc21/:id.:fmt/metadata
[:GET],/repositories/:repo_id/resources/marc21/:id.xml
"[:GET,:POST]",/repositories/:repo_id/search
[:POST],/repositories/:repo_id/top_containers
[:GET],/repositories/:repo_id/top_containers
[:POST],/repositories/:repo_id/top_containers/:id
[:GET],/repositories/:repo_id/top_containers/:id
[:DELETE],/repositories/:repo_id/top_containers/:id
[:POST],/repositories/:repo_id/top_containers/batch/container_profile
[:POST],/repositories/:repo_id/top_containers/batch/ils_holding_id
[:POST],/repositories/:repo_id/top_containers/batch/location
[:POST],/repositories/:repo_id/top_containers/bulk/barcodes
[:POST],/repositories/:repo_id/top_containers/bulk/locations
[:GET],/repositories/:repo_id/top_containers/search
[:POST],/repositories/:repo_id/transfer
[:GET],/repositories/:repo_id/users/:id
[:POST],/repositories/with_agent
[:GET],/repositories/with_agent/:id
[:POST],/repositories/with_agent/:id
[:GET],/schemas
[:GET],/schemas/:schema
"[:GET,:POST]",/search
[:GET],/search/location_profile
[:GET],/search/published_tree
"[:GET,:POST]",/search/record_types_by_repository
"[:GET,:POST]",/search/records
"[:GET,:POST]",/search/repositories
"[:GET,:POST]",/search/subjects
[:GET],/space_calculator/buildings
[:GET],/space_calculator/by_building
[:GET],/space_calculator/by_location
[:POST],/subjects
[:GET],/subjects
[:POST],/subjects/:id
[:GET],/subjects/:id
[:DELETE],/subjects/:id
[:GET],/terms
[:GET],/update-feed
[:POST],/update_monitor
[:POST],/users
[:GET],/users
[:GET],/users/:id
[:POST],/users/:id
[:DELETE],/users/:id
[:POST],/users/:id/groups
[:POST],/users/:username/become-user
[:POST],/users/:username/login
[:GET],/users/complete
[:GET],/users/current-user
[:GET],/version
[:POST],/vocabularies
[:GET],/vocabularies
[:POST],/vocabularies/:id
[:GET],/vocabularies/:id
[:GET],/vocabularies/:id/terms
